chr	position	value
1	0	0.0428
1	565000	0.0522
1	599000	0.0674
1	922000	0.1209
1	1075000	0.2099
1	1147000	0.1348
1	1221000	0.2416
1	1320000	0.2164
1	1506000	0.3294
1	1553000	0.2963
1	1715000	0.3612
1	1735000	0.3598
1	1783000	0.2508
1	1950000	0.0835
1	2225000	0.2571
1	2384000	0.2684
1	2669000	0.3518
1	2758000	0.3354
1	2958000	0.4389
1	3443000	0.5095
1	3517000	0.5693
1	3583000	0.5711
1	3614000	0.7886
1	3661000	0.9308
1	3696000	1.0309
1	4307000	3.078
1	4411000	3.0233
1	4546000	3.1714
1	4584000	4.4085
1	4645000	3.9446
1	4750000	4.4074
1	4915000	4.3915
1	5029000	4.412
1	5167000	5.0517
1	5249000	4.9515
1	5319000	5.6398
1	5374000	5.8446
1	5408000	5.3668
1	5488000	5.6579
1	5677000	5.3017
1	5747000	5.2697
1	5761000	5.3617
1	5919000	5.8296
1	6040000	5.6698
1	6215000	5.3421
1	6232000	6.0489
1	6272000	6.3873
1	6531000	6.3625
1	6597000	7.0497
1	6791000	6.2057
1	7392000	0.7822
1	8381000	0.5146
1	8689000	0.7773
1	8797000	0.7587
1	9185000	0.7358
1	9221000	0.7382
1	9387000	1.3178
1	9712000	1.4079
1	9879000	1.2891
1	10481000	1.1217
1	10588000	1.3244
1	10617000	1.4229
1	10721000	1.3674
1	10924000	1.3667
1	10963000	1.2959
1	11559000	1.2249
1	12087000	1.1656
1	12189000	1.3438
1	12366000	0.7384
1	12659000	0.789
1	12685000	1.0713
1	12772000	0.4813
1	13278000	0.4943
1	13532000	0.6333
1	13948000	0.6374
1	14040000	0.6333
1	14117000	0.6388
1	14252000	0.6334
1	14362000	0.8861
1	14485000	0.9361
1	14529000	0.4373
1	14624000	0.5591
1	15294000	0.5841
1	15492000	0.5957
1	17608000	0.528
1	18331000	0.45
1	18379000	0.4673
1	18408000	0.4666
1	18529000	0.5804
1	18778000	0.786
1	19199000	0.9387
1	19300000	1.0151
1	19516000	1.0571
1	19550000	1.0509
1	19970000	1.0571
1	20344000	1.3571
1	20435000	1.2438
1	20463000	0.7874
1	20478000	0.6149
1	20557000	0.4226
1	20923000	0.5182
1	20941000	0.5677
1	21185000	0.5021
1	22023000	0.0266
1	22536000	0.0515
1	22576000	0.0471
1	22651000	0.0454
1	22723000	0.0561
1	22779000	0.0381
1	22836000	0.0782
1	22891000	0.1185
1	22988000	0.13
1	23081000	0.1191
1	23231000	0.019
1	23240000	0.0193
1	23455000	0.0277
1	23624000	0.0105
1	23677000	0.0149
1	23920000	0.0578
1	23973000	0.0033
1	24074000	0.0023
1	24185000	0.0213
1	24404000	0.0524
1	24562000	0.0954
1	24767000	0.0948
1	24821000	0.173
1	24867000	0.1327
1	25124000	0.2175
1	25451000	0.3837
1	26243000	1.1416
1	26832000	1.0832
1	27324000	2.4478
1	27997000	2.9035
1	28110000	3.2786
1	28397000	3.4802
1	28442000	4.1768
1	28615000	4.6003
1	28666000	4.7389
1	28826000	4.7383
1	28956000	3.9567
1	29985000	3.1378
1	30077000	3.3827
1	30154000	3.715
1	30193000	3.185
1	30469000	3.5251
1	30501000	3.1297
1	30546000	3.1861
1	30562000	3.3796
1	30890000	3.3851
1	30972000	3.3799
1	31034000	3.38
1	31052000	3.3799
1	31653000	3.4822
1	31702000	3.6128
1	31750000	3.2602
1	31854000	2.9637
1	31956000	2.9667
1	32106000	3.0248
1	32177000	2.849
1	32243000	2.4484
