Chr	start	stop	value
1	0	565000	0.5923
1	565000	599000	0.6701
1	599000	922000	0.6785
1	922000	1075000	0.8528
1	1075000	1147000	0.9223
1	1147000	1221000	0.9085
1	1221000	1320000	1.0836
1	1320000	1506000	1.1619
1	1506000	1553000	1.187
1	1553000	1715000	1.2143
1	1715000	1735000	1.7407
1	1735000	1783000	1.5866
1	1783000	1950000	1.4946
1	1950000	2225000	1.3438
1	2225000	2384000	1.3905
1	2384000	2669000	1.4086
1	2669000	2758000	1.5182
1	2758000	2958000	1.5689
1	2958000	3443000	1.8037
1	3443000	3517000	1.7727
1	3517000	3583000	1.989
1	3583000	3614000	2.1597
1	3614000	3661000	2.6228
1	3661000	3696000	2.9651
1	3696000	4307000	3.3912
1	4307000	4411000	3.8847
1	4411000	4546000	4.1381
1	4546000	4584000	3.9345
1	4584000	4645000	4.0495
1	4645000	4750000	3.4835
1	4750000	4915000	3.6155
1	4915000	5029000	3.7944
1	5029000	5167000	4.0554
1	5167000	5249000	3.4891
1	5249000	5319000	3.2802
1	5319000	5374000	3.6762
1	5374000	5408000	3.8059
1	5408000	5488000	2.8761
1	5488000	5677000	3.0431
1	5677000	5747000	3.1708
1	5747000	5761000	3.0097
1	5761000	5919000	2.7323
1	5919000	6040000	3.1835
1	6040000	6215000	3.0139
1	6215000	6232000	3.0204
1	6232000	6272000	3.9504
1	6272000	6531000	4.1579
1	6531000	6597000	3.4757
1	6597000	6791000	3.4951
1	6791000	7392000	3.3704
1	7392000	8381000	0.1355
1	8381000	8689000	0.0956
1	8689000	8797000	0.1231
1	8797000	9185000	0.1117
1	9185000	9221000	0.1473
1	9221000	9387000	0.1787
1	9387000	9712000	1.5611
1	9712000	9879000	1.7662
1	9879000	10481000	2.3212
1	10481000	10588000	1.9926
1	10588000	10617000	2.0986
1	10617000	10721000	2.3827
1	10721000	10924000	2.2141
1	10924000	10963000	2.1667
1	10963000	11559000	2.4112
1	11559000	12087000	1.3429
1	12087000	12189000	1.0944
1	12189000	12366000	1.2908
1	12366000	12659000	0.4182
1	12659000	12685000	0.4351
1	12685000	12772000	0.6028
1	12772000	13278000	0.3733
1	13278000	13532000	0.4767
1	13532000	13948000	0.4308
1	13948000	14040000	0.4236
1	14040000	14117000	0.4308
1	14117000	14252000	0.5059
1	14252000	14362000	0.4308
1	14362000	14485000	0.4637
1	14485000	14529000	0.5831
1	14529000	14624000	0.5069
1	14624000	15294000	0.6354
1	15294000	15492000	0.7851
1	15492000	17608000	0.6611
1	17608000	18331000	0.5569
1	18331000	18379000	0.4425
1	18379000	18408000	0.4351
1	18408000	18529000	0.4217
1	18529000	18778000	0.5214
1	18778000	19199000	0.7947
1	19199000	19300000	0.6647
1	19300000	19516000	0.9646
1	19516000	19550000	1.0303
1	19550000	19970000	0.9257
1	19970000	20344000	1.0303
1	20344000	20435000	1.346
1	20435000	20463000	1.3612
1	20463000	20478000	1.3597
1	20478000	20557000	1.4551
1	20557000	20923000	1.0636
1	20923000	20941000	1.1589
1	20941000	21185000	1.2241
1	21185000	22023000	1.2968
1	22023000	22536000	0.4265
1	22536000	22576000	0.4441
1	22576000	22651000	0.5702
1	22651000	22723000	0.4945
1	22723000	22779000	0.3725
1	22779000	22836000	0.4062
1	22836000	22891000	0.3526
1	22891000	22988000	0.3492
1	22988000	23081000	0.2963
1	23081000	23231000	0.22
1	23231000	23240000	0.051
1	23240000	23455000	0.0216
