chr	xstart	ystart	xend	yend
1	134291	0	134291	2.8
1	2665412	0	2665412	2.8
1	24392841	0	24392841	2.8
1	26044166	0	26044166	2.8
1	27906608	0	27906608	2.8
1	38261836	0	38261836	2.8
1	38884741	0	38884741	2.8
1	42268880	0	42268880	2.8
1	42905566	0	42905566	2.8
2	343057	0	343057	2.8
2	3659093	0	3659093	2.8
2	19727118	0	19727118	2.8
2	21608141	0	21608141	2.8
2	32731189	0	32731189	2.8
2	35092340	0	35092340	2.8
3	4541351	0	4541351	2.8
3	10684315	0	10684315	2.8
3	30062334	0	30062334	2.8
3	34715396	0	34715396	2.8
4	5484768	0	5484768	2.8
4	19453728	0	19453728	2.8
4	27124166	0	27124166	2.8
4	33488512	0	33488512	2.8
5	605760	0	605760	2.8
5	20685346	0	20685346	2.8
5	26346997	0	26346997	2.8
5	29579044	0	29579044	2.8
6	587543	0	587543	2.8
6	1816175	0	1816175	2.8
6	5060660	0	5060660	2.8
6	23303668	0	23303668	2.8
6	28109236	0	28109236	2.8
6	31069076	0	31069076	2.8
7	134162	0	134162	2.8
7	15440889	0	15440889	2.8
7	20724563	0	20724563	2.8
7	23868417	0	23868417	2.8
7	26039678	0	26039678	2.8
8	268716	0	268716	2.8
8	3242788	0	3242788	2.8
8	8327866	0	8327866	2.8
8	27380765	0	27380765	2.8
9	2601650	0	2601650	2.8
9	18122580	0	18122580	2.8
9	18760704	0	18760704	2.8
9	20389919	0	20389919	2.8
9	22382924	0	22382924	2.8
10	1447360	0	1447360	2.8
10	12113431	0	12113431	2.8
10	12886331	0	12886331	2.8
10	13778798	0	13778798	2.8
10	20000791	0	20000791	2.8
10	21467608	0	21467608	2.8
11	304967	0	304967	2.8
11	22016848	0	22016848	2.8
12	64393	0	64393	2.8
12	1139026	0	1139026	2.8
12	5013789	0	5013789	2.8
12	23248824	0	23248824	2.8
12	26268230	0	26268230	2.8
