chr	xpos	ypos	symbol
1	134291	3	OsTLP27
1	2665412	3	MT2D
1	24392841	3	OCPI1
1	26044166	3	SLRL1
1	27906608	3	OsTPC1
1	38261836	3	OsPH1
1	38884741	3	OsFKI
1	42268880	3	OsMLH1
1	42905566	3	ZIP1
2	343057	3	OSINV3
2	3659093	3	OsCAND1
2	19727118	3	OsRAR1
2	21608141	3	CPT1
2	32731189	3	K16
2	35092340	3	OsBi1
3	4541351	3	OsAP25
3	10684315	3	SSD1
3	30062334	3	OsEro1
3	34715396	3	OASA1
4	5484768	3	CYP99A2
4	19453728	3	OsAFB2
4	27124166	3	Oshox22
4	33488512	3	OsLG1
5	605760	3	OsMT2b
5	20685346	3	GA20OX4
5	26346997	3	SnRK1A
5	29579044	3	OsVPE4
6	587543	3	EYA1
6	1816175	3	EPSPS
6	5060660	3	OsGPCR
6	23303668	3	OsUGT4
6	28109236	3	DEP3
6	31069076	3	OsAGO1d
7	134162	3	SRL1
7	15440889	3	OsRR7
7	20724563	3	OsDR8
7	23868417	3	SHR1
7	26039678	3	OsbHLH1
8	268716	3	OsUGT2
8	3242788	3	OsDR10
8	8327866	3	OsXTH8
8	27380765	3	OsHsfB2b
9	2601650	3	OsTrx1
9	18122580	3	OsTFX1
9	18760704	3	OSISAP1
9	20389919	3	OsGEN-L
9	22382924	3	TCD9
10	1447360	3	OsSNDP1
10	12113431	3	GIL1
10	12886331	3	OsRCCR1
10	13778798	3	OsSUT3
10	20000791	3	RRJ1
10	21467608	3	NRRB
11	304967	3	OsFER1
11	22016848	3	OsC6
12	64393	3	NAL3
12	1139026	3	ONAC131
12	5013789	3	OsPRAGL
12	23248824	3	OsBOR1
12	26268230	3	OsNCED5
