chrX	posX	chrY	posY	color
1	0	Chr01	412394	21.041
5	26841000	Chr05	26330003	38.726
1	32107000	Chr01	32175117	34.036
1	30547000	Chr01	30530010	28.192
1	23625000	Chr01	23533813	15.335
2	18132000	Chr02	18378823	13.786
11	3106000	Chr10	18018009	32.963
11	3177000	Chr11	3547748	26.766
5	28862000	Chr05	29002193	25.398
9	9520000	Chr09	4402922	6.74
4	490000	Chr04	1024097	21.929
5	6002000	Chr05	6332706	36.398
1	30563000	Chr01	31035254	22.244
9	10748000	Chr07	25364753	5.424
2	2647000	Chr02	2742941	28.778
9	9369000	Chr10	18243611	5.276
4	18765000	Chr03	14597951	5.577
10	8285000	Chr10	7110581	18.306
11	26608000	Chr11	26619540	28.21
3	1116000	Chr04	26549661	13.975
3	266000	Chr03	268000	40
10	18920000	Chr10	18878559	7.873
2	34173000	Chr05	21553392	7.682
3	12882000	Chr03	12933292	20.501
12	17641000	Chr12	17791166	20.223
10	1316000	Chr12	24505929	25.389
2	9598000	Chr01	25744629	15.159
4	30173000	Chr12	1997367	5.906
5	6002000	Chr05	6167646	11.523
4	22445000	Chr04	22827643	25.658
12	23428000	Chr04	30571934	28.293
4	18244000	Chr04	17912061	10.564
11	22508000	Chr01	23416289	5.342
1	31654000	Chr01	32056828	5.621
8	15358000	Chr12	5286230	20.004
9	9520000	Chr09	12273366	9.731
5	18411000	Chr07	12820158	16.685
3	13901000	Chr03	14070841	14.321
1	33618000	Chr01	33778096	36.923
8	18512000	Chr11	1023821	8.793
6	9370000	Chr06	3017422	6.133
10	17412000	Chr10	17170246	18.413
8	8580000	Chr08	8656612	24.273
10	17466000	Chr10	17873608	28.008
2	31215000	Chr05	16343305	5.599
2	16555000	Chr04	29941361	26.496
6	2326000	Chr06	2353486	33.447
6	22532000	Chr06	22374579	28.051
3	266000	Chr03	271100	26.532
8	5841000	Chr08	7511294	15.081
12	10774000	Chr12	16193088	22.196
3	21239000	Chr12	9356731	9.573
4	21787000	Chr04	21850264	21.159
7	18148000	Chr07	18357560	21.163
4	5242000	Chr02	20939409	19.314
9	18512000	Chr09	18506547	8.23
5	6214000	Chr05	6134689	24.358
5	5253000	Chr11	24160321	8.466
6	8454000	Chr04	20796650	17.942
1	37624000	Chr09	20190520	4.988
3	28630000	Chr03	28622365	19.167
12	10802000	Chr12	9356064	7.663
11	3106000	Chr11	3048827	12.07
2	16153000	Chr06	9865726	21.995
9	8619000	Chr06	162874	18.298
4	32757000	Chr04	33252888	25.489
6	20468000	Chr06	22095578	9.121
6	8765000	Chr08	5990397	29.019
12	22597000	Chr12	22485036	13.688
1	31035000	Chr01	31565955	9.849
10	18653000	Chr10	18897623	21.487
4	4425000	Chr04	4549078	24.864
9	4353000	Chr09	2698738	23.595
3	266000	Chr03	268705	31.149
4	30614000	Chr04	30628500	14.419
10	4224000	Chr10	4744196	32.294
9	1319000	Chr01	37107298	7.714
10	14649000	Chr10	14655143	24.531
3	35606000	Chr03	35601532	14.19
2	9924000	Chr06	1162063	22.247
4	18084000	Chr05	22479861	6.354
7	6057000	Chr07	6035724	27.437
6	2766000	Chr03	1087921	6.78
9	16718000	Chr09	17079023	22.907
6	3952000	Chr07	6978465	5.156
11	9006000	Chr11	9788852	10.064
2	2647000	Chr02	2749860	13.422
4	15935000	Chr04	18927041	6.516
7	26328000	Chr01	41307413	5.645
2	4604000	Chr02	4647238	24.681
3	26585000	Chr03	26685803	18.769
9	20497000	Chr09	19297432	7.397
6	24667000	Chr06	24874640	8.624
5	23531000	Chr12	12400825	5.214
5	28679000	Chr11	5198207	5.106
11	7114000	Chr11	7337333	14.342
6	3133000	Chr06	3316319	11.612
6	23358000	Chr03	28644103	11.178
9	7828000	Chr11	26473668	10.973
2	18697000	Chr02	17006655	7.384
6	20261000	Chr06	20633681	16.956
3	2160000	Chr03	2187306	22.232
6	7117000	Chr06	7117651	36.956
11	15851000	Chr10	18489694	5.243
10	17412000	Chr05	26970263	38.779
4	32453000	Chr04	32479913	15.23
2	30620000	Chr02	30633020	22.79
3	266000	Chr03	271932	18.974
2	20108000	Chr02	20167753	23.46
3	29654000	Chr03	29167725	6.241
11	23074000	Chr11	23253760	18.93
11	7038000	Chr11	7086079	9.987
12	19477000	Chr11	551906	8.165
3	8784000	Chr05	17164290	5.664
5	16652000	Chr02	21185373	26.79
3	368000	Chr03	269630	6.109
4	31553000	Chr11	5409495	12.34
3	12564000	Chr03	12620225	32.806
5	21090000	Chr06	517174	13.481
4	23844000	Chr04	24221544	24.537
1	9222000	Chr01	8969171	9.503
1	33286000	Chr01	33367749	30.011
5	23531000	Chr02	3710316	5.77
3	17420000	Chr11	959725	8.269
9	7753000	Chr09	8099559	8.617
3	14522000	Chr03	14551502	30.568
1	31855000	Chr01	31716802	15.516
3	266000	Chr03	272141	31.702
9	9520000	Chr09	9681530	24.975
1	31957000	Chr01	31936868	22.235
10	22869000	Chr08	23941366	40
11	1166000	Chr11	849213	15.989
5	21438000	Chr09	12235867	6.244
12	23920000	Chr12	23830054	26.495
5	4323000	Chr05	4792232	29.022
9	9369000	Chr09	9296553	5.841
11	2927000	Chr11	2958950	11.172
9	8726000	Chr12	26339702	8.665
10	1316000	Chr10	9977164	23.195
6	13725000	Chr06	16010698	13.644
1	6532000	Chr01	6363738	9.6
1	41090000	Chr03	27409838	18.604
10	1266000	Chr10	1779321	29.243
4	520000	Chr04	558056	7.153
6	21083000	Chr04	33718195	5.592
9	8160000	Chr10	14568768	11.056
10	19947000	Chr10	19957516	6.316
1	34745000	Chr01	32099354	5.358
6	8393000	Chr06	8092843	9.196
12	19116000	Chr08	8986100	19.972
9	8961000	Chr02	15224507	5.148
6	20974000	Chr06	19781614	5.627
4	31327000	Chr04	31318602	29.589
9	8726000	Chr09	5667572	6.517
3	25621000	Chr09	14355433	5.16
7	3284000	Chr07	1258364	5.368
11	9772000	Chr07	15391336	5.122
11	20804000	Chr11	20959238	7.644
5	21323000	Chr04	722315	40
7	1745000	Chr07	1880487	19.531
5	21090000	Chr01	25983282	7.352
3	266000	Chr03	270184	38.829
10	17466000	Chr10	17875399	8.1
3	23805000	Chr03	23744001	11.441
3	35277000	Chr03	35155734	16.385
12	22597000	Chr12	23094326	28.15
1	20942000	Chr01	20946136	10.012
4	23006000	Chr09	11261851	7.891
2	4880000	Chr02	4934989	11.065
11	2378000	Chr11	2390298	33.639
12	25311000	Chr09	19405359	5.314
11	4343000	Chr11	4398043	7.936
11	24449000	Chr02	19348936	26.611
11	18665000	Chr11	7082961	7.885
2	9924000	Chr02	10083054	40
9	4353000	Chr09	4587613	27.507
3	18076000	Chr07	10180576	6.729
4	17818000	Chr04	18915676	23.667
6	2952000	Chr05	8370883	5.612
5	22334000	Chr10	20680454	6.498
11	800000	Chr11	959612	17.543
5	19047000	Chr05	19010481	6.337
3	9281000	Chr03	9417303	30.947
6	13828000	Chr06	13952714	13.025
1	20924000	Chr01	19409305	5.717
