chr	start	end	value1	value2
1	1	399271	p36.33	gneg
1	399271	937418	p36.32	gpos25
1	937418	1249890	p36.31	gneg
1	1249890	1597082	p36.23	gpos25
1	1597082	2204668	p36.22	gneg
1	2204668	2812253	p36.21	gpos50
1	2812253	3541356	p36.13	gneg
1	3541356	4148941	p36.12	gpos25
1	4148941	4860684	p36.11	gneg
1	4860684	5242595	p35.3	gpos25
1	5242595	5624506	p35.2	gneg
1	5624506	6006417	p35.1	gpos25
1	6006417	6961194	p34.3	gneg
1	6961194	7655578	p34.2	gpos25
1	7655578	8124287	p34.1	gneg
1	8124287	8801311	p33	gpos75
1	8801311	9738728	p32.3	gneg
1	9738728	10242156	p32.2	gpos50
1	10242156	10641427	p32.1	gneg
1	10641427	11960756	p31.3	gpos50
1	11960756	12099632	p31.2	gneg
1	12099632	14738290	p31.1	gpos100
1	14738290	15345875	p22.3	gneg
1	15345875	15970820	p22.2	gpos75
1	15970820	16439529	p22.1	gneg
1	16439529	17307508	p21.3	gpos75
1	17307508	17741498	p21.2	gneg
1	17741498	18609478	p21.1	gpos100
1	18609478	19408019	p13.3	gneg
1	19408019	20154481	p13.2	gpos50
1	20154481	20449594	p13.1	gneg
1	20449594	20935662	p12	gpos50
1	20935662	21091898	p11.2	gneg
1	21091898	21699484	p11.1	acen
1	21699484	22376508	q11	acen
1	22376508	24754771	q12	gvar
1	24754771	25518593	q21.1	gneg
1	25518593	26091460	q21.2	gpos50
1	26091460	26907360	q21.3	gneg
1	26907360	27167754	q22	gpos50
1	27167754	27619103	q23.1	gneg
1	27619103	27862138	q23.2	gpos50
1	27862138	28730117	q23.3	gneg
1	28730117	29025230	q24.1	gpos50
1	29025230	29667535	q24.2	gneg
1	29667535	30014726	q24.3	gpos75
1	30014726	30552874	q25.1	gneg
1	30552874	31299336	q25.2	gpos50
1	31299336	32254113	q25.3	gneg
1	32254113	33122092	q31.1	gpos100
1	33122092	33642880	q31.2	gneg
1	33642880	34493500	q31.3	gpos100
1	34493500	35969065	q32.1	gneg
1	35969065	36715527	q32.2	gpos25
1	36715527	37236315	q32.3	gneg
1	37236315	38902835	q41	gpos100
1	38902835	38989633	q42.11	gneg
1	38989633	39406263	q42.12	gpos25
1	39406263	40048568	q42.13	gneg
1	40048568	40742951	q42.2	gpos50
1	40742951	41072783	q42.3	gneg
1	41072783	42305314	q43	gpos75
1	42305314	43268879	q44	gneg
2	1	650058	p25.3	gneg
2	650058	1048957	p25.2	gpos50
2	1048957	1802433	p25.1	gneg
2	1802433	2467265	p24.3	gpos75
2	2467265	2836616	p24.2	gneg
2	2836616	3545770	p24.1	gpos75
2	3545770	4121958	p23.3	gneg
2	4121958	4432213	p23.2	gpos25
2	4432213	4742468	p23.1	gneg
2	4742468	5407300	p22.3	gpos75
2	5407300	5702781	p22.2	gneg
2	5702781	6175550	p22.1	gpos50
2	6175550	7061993	p21	gneg
2	7061993	7815469	p16.3	gpos100
2	7815469	8125724	p16.2	gneg
2	8125724	9056489	p16.1	gpos100
