chrX	startX	stopX	chrY	startY	stopY	color
2	11000001	12000000	Chr06	12000001	13000000	c
1	26000001	27000000	Chr02	6000001	7000000	c
1	15000001	16000000	Chr11	12000001	13000000	c
4	19000001	20000000	Chr12	1	1000000	d
4	29000001	30000000	Chr09	7000001	8000000	c
2	14000001	15000000	Chr03	2000001	3000000	d
4	1000001	2000000	Chr10	18000001	19000000	d
9	19000001	20000000	Chr03	7000001	8000000	c
9	12000001	13000000	Chr11	21000001	22000000	b
3	6000001	7000000	Chr12	6000001	7000000	c
11	3000001	4000000	Chr07	15000001	16000000	c
7	5000001	6000000	Chr01	39000001	40000000	c
1	9000001	10000000	Chr08	18000001	19000000	b
5	19000001	20000000	Chr08	28000001	28439308	c
1	13000001	14000000	Chr06	17000001	18000000	b
1	24000001	25000000	Chr11	12000001	13000000	c
12	22000001	23000000	Chr05	2000001	3000000	c
3	15000001	16000000	Chr02	24000001	25000000	c
2	24000001	25000000	Chr12	16000001	17000000	f
2	35000001	35930381	Chr08	22000001	23000000	c
5	21000001	22000000	Chr05	7000001	8000000	b
7	16000001	17000000	Chr04	15000001	16000000	c
1	3000001	4000000	Chr02	21000001	22000000	b
10	8000001	9000000	Chr04	14000001	15000000	c
7	27000001	28000000	Chr05	21000001	22000000	c
8	21000001	22000000	Chr06	5000001	6000000	c
7	3000001	4000000	Chr11	18000001	19000000	c
9	11000001	12000000	Chr10	8000001	9000000	c
12	3000001	4000000	Chr05	25000001	26000000	c
1	17000001	18000000	Chr10	18000001	19000000	c
5	7000001	8000000	Chr09	5000001	6000000	c
1	3000001	4000000	Chr10	5000001	6000000	d
5	28000001	29000000	Chr07	19000001	20000000	d
6	21000001	22000000	Chr09	14000001	15000000	c
8	10000001	11000000	Chr05	10000001	11000000	c
5	25000001	26000000	Chr04	9000001	10000000	c
1	2000001	3000000	Chr03	35000001	36000000	c
5	1	1000000	Chr02	8000001	9000000	c
6	25000001	26000000	Chr01	21000001	22000000	b
6	31000001	31246789	Chr12	19000001	20000000	d
2	19000001	20000000	Chr11	21000001	22000000	b
11	17000001	18000000	Chr11	21000001	22000000	b
10	10000001	11000000	Chr06	20000001	21000000	c
1	3000001	4000000	Chr06	1	1000000	g
5	23000001	24000000	Chr06	12000001	13000000	c
11	2000001	3000000	Chr07	10000001	11000000	d
11	28000001	28512666	Chr01	6000001	7000000	c
8	18000001	19000000	Chr01	13000001	14000000	c
3	26000001	27000000	Chr07	6000001	7000000	c
6	4000001	5000000	Chr02	27000001	28000000	b
2	15000001	16000000	Chr06	10000001	11000000	b
3	28000001	29000000	Chr10	6000001	7000000	c
4	6000001	7000000	Chr09	5000001	6000000	d
3	31000001	32000000	Chr01	12000001	13000000	g
2	18000001	19000000	Chr05	1	1000000	c
2	11000001	12000000	Chr05	8000001	9000000	f
8	12000001	13000000	Chr01	30000001	31000000	c
1	1000001	2000000	Chr09	8000001	9000000	c
2	8000001	9000000	Chr11	5000001	6000000	c
6	11000001	12000000	Chr02	3000001	4000000	c
4	7000001	8000000	Chr01	35000001	36000000	e
9	17000001	18000000	Chr04	1000001	2000000	d
5	19000001	20000000	Chr10	4000001	5000000	c
3	21000001	22000000	Chr11	9000001	10000000	c
4	15000001	16000000	Chr08	10000001	11000000	g
1	17000001	18000000	Chr08	26000001	27000000	d
5	12000001	13000000	Chr11	24000001	25000000	d
12	1	1000000	Chr02	6000001	7000000	c
1	41000001	42000000	Chr02	10000001	11000000	c
3	16000001	17000000	Chr03	3000001	4000000	b
6	25000001	26000000	Chr06	14000001	15000000	b
4	12000001	13000000	Chr03	31000001	32000000	c
8	1	1000000	Chr06	17000001	18000000	c
9	15000001	16000000	Chr08	26000001	27000000	c
6	19000001	20000000	Chr12	6000001	7000000	e
1	15000001	16000000	Chr04	3000001	4000000	c
4	14000001	15000000	Chr10	2000001	3000000	d
6	16000001	17000000	Chr10	20000001	21000000	g
9	20000001	21000000	Chr12	17000001	18000000	b
3	31000001	32000000	Chr04	2000001	3000000	d
9	8000001	9000000	Chr03	27000001	28000000	b
5	6000001	7000000	Chr03	17000001	18000000	c
7	13000001	14000000	Chr09	5000001	6000000	c
5	19000001	20000000	Chr04	29000001	30000000	c
7	8000001	9000000	Chr04	9000001	10000000	d
5	20000001	21000000	Chr10	14000001	15000000	c
7	25000001	26000000	Chr04	17000001	18000000	c
9	7000001	8000000	Chr04	3000001	4000000	d
4	2000001	3000000	Chr01	29000001	30000000	c
1	6000001	7000000	Chr09	18000001	19000000	c
6	24000001	25000000	Chr04	6000001	7000000	c
3	29000001	30000000	Chr12	17000001	18000000	c
12	15000001	16000000	Chr12	11000001	12000000	a
11	1	1000000	Chr02	15000001	16000000	b
2	29000001	30000000	Chr09	1000001	2000000	b
9	17000001	18000000	Chr06	21000001	22000000	c
6	11000001	12000000	Chr08	14000001	15000000	c
10	14000001	15000000	Chr10	15000001	16000000	b
11	5000001	6000000	Chr01	31000001	32000000	g
2	3000001	4000000	Chr04	2000001	3000000	c
5	17000001	18000000	Chr09	9000001	10000000	c
2	18000001	19000000	Chr02	31000001	32000000	b
12	4000001	5000000	Chr02	7000001	8000000	d
1	38000001	39000000	Chr10	12000001	13000000	c
1	26000001	27000000	Chr04	13000001	14000000	c
5	29000001	29894789	Chr09	12000001	13000000	c
11	5000001	6000000	Chr02	13000001	14000000	c
6	15000001	16000000	Chr03	1000001	2000000	d
7	20000001	21000000	Chr05	13000001	14000000	d
12	18000001	19000000	Chr06	14000001	15000000	c
1	22000001	23000000	Chr11	9000001	10000000	f
1	26000001	27000000	Chr03	14000001	15000000	g
1	32000001	33000000	Chr06	19000001	20000000	c
1	29000001	30000000	Chr07	3000001	4000000	c
7	5000001	6000000	Chr07	19000001	20000000	b
8	5000001	6000000	Chr12	26000001	27000000	b
4	12000001	13000000	Chr08	28000001	28439308	d
7	8000001	9000000	Chr03	28000001	29000000	b
7	1	1000000	Chr04	33000001	34000000	c
9	14000001	15000000	Chr09	14000001	15000000	b
1	18000001	19000000	Chr06	19000001	20000000	c
8	6000001	7000000	Chr02	21000001	22000000	b
3	2000001	3000000	Chr09	8000001	9000000	c
7	16000001	17000000	Chr06	11000001	12000000	f
9	15000001	16000000	Chr01	16000001	17000000	d
3	3000001	4000000	Chr02	7000001	8000000	d
1	32000001	33000000	Chr01	28000001	29000000	b
