chrX	posX	chrY	posY	color	shape	size
1	15414550	Chr01	17415682.5	a	12	1.2
1	2314068	Chr01	2291658.5	a	12	1.2
1	2583523	Chr01	2546653.5	c	12	1.2
1	33396049	Chr01	33278033	d	12	1.2
1	17988455.5	Chr01	15622835.5	a	12	1.2
1	16177759.5	Chr01	17967028	a	12	1.2
1	13260414.5	Chr01	12585614.5	d	12	1.2
1	30118569	Chr01	30469256.5	c	8	0.4
1	33609918	Chr01	33447986.5	b	12	1.2
1	22581034	Chr01	22637242	d	16	0.8
1	41111390.5	Chr01	41111454	c	12	1.2
1	29075333.5	Chr01	35616262.5	c	8	0.4
1	29321514	Chr01	29184309.5	d	8	0.4
1	15414550	Chr01	16882679	a	12	1.2
1	33043027	Chr01	32706647	d	12	1.2
6	8263003.5	Chr01	22782557	c	12	1.2
1	38333260.5	Chr01	10429396	a	12	1.2
1	17988455.5	Chr01	15625101.5	d	12	1.2
1	2314068	Chr01	2321044.5	d	12	1.2
3	16714348	Chr01	33819733	c	12	1.2
1	14746824.5	Chr01	16128450	a	12	1.2
1	2314068	Chr01	2290593.5	b	12	1.2
1	14746824.5	Chr01	17966546	c	12	1.2
1	40597438	Chr01	40467119.5	a	12	1.2
1	30118569	Chr01	30479862	a	8	0.4
1	17585822	Chr01	17645117.5	a	12	1.2
1	30757614.5	Chr01	34320435.5	a	8	0.4
1	29075333.5	Chr01	30534009.5	a	8	0.4
1	15414550	Chr01	17647029	a	12	1.2
1	8358234.5	Chr01	8542945.5	b	12	1.2
5	25944968.5	Chr01	22556430	a	12	1.2
1	41111390.5	Chr01	41013623	d	12	1.2
1	31908041	Chr01	31948545.5	d	12	1.2
1	10077206	Chr01	18090444	c	12	1.2
4	34709513.5	Chr01	33278033	b	12	1.2
1	32580594	Chr01	32805502.5	b	12	1.2
1	14746824.5	Chr01	16035908.5	b	12	1.2
8	12779403.5	Chr01	15135491.5	c	16	0.8
1	40173425.5	Chr01	40226045.5	b	12	1.2
1	29013011	Chr01	34319674.5	c	8	0.4
1	16703288.5	Chr01	14283240	a	12	1.2
1	30757614.5	Chr01	34321551.5	d	8	0.4
1	15414550	Chr01	16035906	a	12	1.2
2	2857918	Chr01	9968878	b	12	1.2
1	31288697	Chr01	30934968.5	d	12	1.2
1	2314068	Chr01	2301773.5	b	12	1.2
1	41011346.5	Chr01	41005820	a	12	1.2
4	20564167	Chr01	15717599.5	b	12	1.2
1	22909996.5	Chr01	22756760	d	16	0.8
1	11020522	Chr01	13639581	d	12	1.2
1	6209921	Chr01	27521544	d	12	1.2
1	30118569	Chr01	30478198.5	b	8	0.4
1	13260414.5	Chr01	12707594	d	12	1.2
1	18994121	Chr01	13639403.5	c	12	1.2
1	15414550	Chr01	16882063.5	b	12	1.2
4	4977155.5	Chr01	35888671.5	b	12	1.2
1	8031049.5	Chr01	6800114	a	12	1.2
6	30314064	Chr01	10743169	b	12	1.2
1	41111390.5	Chr01	41006529.5	d	12	1.2
3	30041559	Chr01	1091326.5	a	12	1.2
1	20426386.5	Chr01	20550021	c	16	0.8
6	11439075.5	Chr01	28196165.5	d	12	1.2
1	32580594	Chr01	32910541.5	d	12	1.2
3	22894246	Chr01	14875956.5	d	12	1.2
1	30757614.5	Chr01	30764530.5	c	8	0.4
1	29075333.5	Chr01	30476330	d	8	0.4
4	4673489	Chr01	35890483.5	d	12	1.2
11	23332194	Chr01	7213607.5	d	8	0.4
6	24664821	Chr01	37457292	c	12	1.2
1	33865580	Chr01	34562725	c	12	1.2
1	31700797	Chr01	33277687	c	12	1.2
1	5899834.5	Chr01	6159256.5	b	12	1.2
1	13260414.5	Chr01	12616978.5	c	12	1.2
1	76729	Chr02	16984909.5	d	16	0.8
2	8856504.5	Chr02	8204705.5	b	12	1.2
2	17142573	Chr02	17143212	b	12	1.2
2	6858475.5	Chr02	6213014.5	c	12	1.2
2	16826622.5	Chr02	15593381.5	d	12	1.2
6	18048904.5	Chr02	12398132	b	12	1.2
2	17848168.5	Chr02	17152732.5	d	12	1.2
2	17142573	Chr02	17478562.5	d	12	1.2
2	1772757	Chr02	1180179	c	12	1.2
2	6858475.5	Chr02	6304440.5	b	12	1.2
2	1612216.5	Chr02	1170054.5	c	12	1.2
2	18869466.5	Chr02	17124697.5	a	12	1.2
2	6858475.5	Chr02	6307726	d	12	1.2
2	3817977	Chr02	2998841	a	12	1.2
8	24661121.5	Chr02	3427106.5	b	16	0.8
2	9147332	Chr02	8205591.5	d	12	1.2
2	16985323	Chr02	17393852	d	12	1.2
2	18999472	Chr02	17558362	a	12	1.2
2	14158672.5	Chr02	15427581	c	12	1.2
2	18869466.5	Chr02	17149006.5	d	12	1.2
2	18748682.5	Chr02	17137087.5	c	12	1.2
2	22957641	Chr02	26907984.5	d	12	1.2
2	3193070	Chr02	2989659.5	d	12	1.2
2	18999472	Chr02	17101115.5	d	12	1.2
3	30609933.5	Chr02	23869607.5	d	12	1.2
2	20821391.5	Chr02	20444175.5	c	12	1.2
2	17848168.5	Chr02	16423428	d	12	1.2
3	22098617	Chr02	18744923.5	d	12	1.2
4	18927865.5	Chr02	16713831.5	c	12	1.2
8	15639856	Chr02	16308207	c	16	0.8
9	9883700	Chr02	12396380	b	16	0.8
8	22547792.5	Chr02	14777350.5	c	16	0.8
1	31091499.5	Chr02	32306092.5	c	8	0.4
2	1439607.5	Chr02	1179448.5	a	12	1.2
6	8263003.5	Chr02	29072430	a	12	1.2
8	16240058.5	Chr02	2989659.5	c	16	0.8
9	19435677	Chr02	17119403	a	16	0.8
2	6858475.5	Chr02	6310126	b	12	1.2
8	10244478.5	Chr02	27635658	a	16	0.8
10	15189353	Chr02	6086781.5	c	16	0.8
2	5087475	Chr02	4512551.5	b	12	1.2
2	5087475	Chr02	4514061.5	c	12	1.2
12	19984652.5	Chr02	29072443.5	d	8	0.4
2	18748682.5	Chr02	17391059.5	a	12	1.2
2	6858475.5	Chr02	6296609	d	12	1.2
6	12397167	Chr02	24900104.5	a	12	1.2
9	13829280	Chr02	12022187.5	c	16	0.8
2	3494548	Chr02	2999721.5	a	12	1.2
11	18711010.5	Chr02	24622294	c	8	0.4
2	3286740	Chr02	3015304	d	12	1.2
2	17848168.5	Chr02	16983698.5	c	12	1.2
2	33557198.5	Chr02	33329404.5	d	12	1.2
2	33557198.5	Chr02	33328268.5	a	12	1.2
2	18748682.5	Chr02	18141223	a	12	1.2
6	27979929	Chr02	31584179	d	12	1.2
2	18999472	Chr02	17152228.5	c	12	1.2
4	5412706	Chr02	26543314.5	a	12	1.2
9	13358432	Chr02	17137087.5	c	16	0.8
2	9372268	Chr02	8454382.5	c	12	1.2
6	12270836.5	Chr02	23803969.5	d	12	1.2
3	3395327	Chr03	1657953	b	12	1.2
3	9353704	Chr03	9322758.5	d	12	1.2
3	1375412.5	Chr03	1410945	b	12	1.2
10	13900155	Chr03	22664906	a	16	0.8
3	25643702	Chr03	3557951	c	12	1.2
3	15415644	Chr03	15342033	c	12	1.2
3	17515372.5	Chr03	19232034.5	c	12	1.2
3	28504657.5	Chr03	19659276.5	c	12	1.2
3	15182253.5	Chr03	15044510.5	d	12	1.2
2	9544179	Chr03	29495906.5	b	12	1.2
6	20449620	Chr03	23756133.5	a	12	1.2
3	15052091.5	Chr03	15043477	a	12	1.2
3	19908323	Chr03	19231289	c	12	1.2
3	15247802	Chr03	15250283.5	a	12	1.2
3	15210136	Chr03	15047667	c	12	1.2
6	18274192	Chr03	13440365.5	a	12	1.2
3	24257181.5	Chr03	18334907.5	a	12	1.2
3	30695316.5	Chr03	30607446.5	b	12	1.2
3	2336939	Chr03	2071441	d	12	1.2
3	16574418	Chr03	23296279.5	c	12	1.2
3	17515372.5	Chr03	19231712	d	12	1.2
3	16823040.5	Chr03	16985400.5	d	12	1.2
3	23723703.5	Chr03	19659276.5	d	12	1.2
3	16823040.5	Chr03	19232151	a	12	1.2
1	13750564	Chr03	14875508	c	12	1.2
3	7869016.5	Chr03	7954776.5	d	12	1.2
3	9311873.5	Chr03	9072107.5	b	12	1.2
3	23723703.5	Chr03	23754616	d	12	1.2
4	17440093.5	Chr03	5056200.5	c	12	1.2
3	19908323	Chr03	16985936	b	12	1.2
1	32230054.5	Chr03	22792911	a	12	1.2
9	9199401	Chr03	24001005	b	16	0.8
1	40818581	Chr03	4669941	a	12	1.2
2	29040487	Chr03	12464945.5	a	12	1.2
6	24843554.5	Chr03	23736734	a	12	1.2
2	6526457.5	Chr03	23134514.5	c	12	1.2
6	25931546	Chr03	23735946.5	b	12	1.2
3	8819413	Chr03	9072050	d	12	1.2
3	30528224	Chr03	30551885.5	d	12	1.2
6	13264637	Chr03	20894443.5	b	12	1.2
3	22098617	Chr03	18194323.5	a	12	1.2
3	22894246	Chr03	22223160	a	12	1.2
4	10031108.5	Chr03	5002835.5	a	12	1.2
3	24927567	Chr03	20500654	b	12	1.2
4	29417471	Chr04	26310572.5	a	12	1.2
4	31600116.5	Chr04	28350820	a	12	1.2
4	24130693.5	Chr04	20976426.5	c	12	1.2
11	23310845.5	Chr04	10342147	c	8	0.4
10	13354730	Chr04	26691818.5	b	16	0.8
4	32364810	Chr04	28344266.5	d	12	1.2
6	18048904.5	Chr04	17363222.5	a	12	1.2
2	9262852	Chr04	12259566.5	b	12	1.2
5	9843278.5	Chr04	21001491.5	b	12	1.2
7	23698227.5	Chr04	27783672	d	12	1.2
1	76729	Chr04	28312679	d	16	0.8
8	26331283	Chr04	7323436	a	16	0.8
4	10031108.5	Chr04	6935266.5	a	12	1.2
4	15396478	Chr04	12259566.5	a	12	1.2
4	7225603	Chr04	2942414.5	d	12	1.2
4	31765440.5	Chr04	28348125.5	d	12	1.2
10	14451019	Chr04	20574504	c	16	0.8
4	24003418.5	Chr04	20801475.5	a	12	1.2
4	19552693.5	Chr04	10224913.5	c	12	1.2
4	19552693.5	Chr04	16554165.5	b	12	1.2
4	20038184.5	Chr04	10225865.5	a	12	1.2
4	17239013	Chr04	12889850.5	d	12	1.2
2	7203627.5	Chr04	6473766.5	c	12	1.2
4	8347735	Chr04	4968057.5	a	12	1.2
4	31317565.5	Chr04	28383640.5	c	12	1.2
4	10031108.5	Chr04	7777641	b	12	1.2
4	31600116.5	Chr04	28346400.5	c	12	1.2
4	6515165.5	Chr04	14200818	c	12	1.2
4	31961854.5	Chr04	29105471	b	12	1.2
3	34651586	Chr04	25996630	c	12	1.2
1	40874797	Chr04	6359019	d	12	1.2
8	13796191	Chr04	21106766	b	16	0.8
4	19305895.5	Chr04	12391489	d	12	1.2
1	29075333.5	Chr04	2327663.5	b	8	0.4
8	26409092.5	Chr04	8416117.5	b	16	0.8
6	26809636	Chr04	2327663.5	d	12	1.2
4	8885665	Chr04	4477144	b	12	1.2
4	4673489	Chr04	1023368.5	a	12	1.2
4	7058822	Chr04	3877951	d	12	1.2
4	15656254	Chr04	12264233.5	a	12	1.2
4	23859244	Chr04	20638895.5	c	12	1.2
4	18526488.5	Chr04	12180550.5	a	12	1.2
6	24349962.5	Chr04	9711982	b	12	1.2
4	24130693.5	Chr04	20776594	d	12	1.2
4	30481175.5	Chr04	26073231.5	a	12	1.2
4	20038184.5	Chr04	16457004	a	12	1.2
6	11884582	Chr04	5546521	d	12	1.2
4	15154245	Chr04	7772704	d	12	1.2
4	7058822	Chr04	4161266	c	12	1.2
4	12933263	Chr04	5319378	d	12	1.2
4	4977155.5	Chr04	1626985	b	12	1.2
4	6515165.5	Chr04	3269573	c	12	1.2
4	5361075	Chr04	2513773.5	c	12	1.2
12	19904035	Chr04	24427843.5	a	8	0.4
8	22067687.5	Chr04	7031164.5	c	16	0.8
4	7492932.5	Chr04	4158610.5	b	12	1.2
4	4375180.5	Chr04	1123819	d	12	1.2
7	8618269	Chr04	6938262	c	12	1.2
4	31600116.5	Chr04	28344010	d	12	1.2
4	30911856.5	Chr04	27715767.5	c	12	1.2
4	10031108.5	Chr04	8416117.5	c	12	1.2
5	19338118	Chr05	15504056.5	d	12	1.2
1	13892574	Chr05	26311786.5	c	12	1.2
5	5667779	Chr05	1970324	b	12	1.2
2	1273459.5	Chr05	25362717	b	12	1.2
6	24664821	Chr05	17709280.5	c	12	1.2
11	26235525	Chr05	6510505	d	8	0.4
5	5752743	Chr05	2078639	b	12	1.2
1	17585822	Chr05	7628189.5	c	12	1.2
12	19282287	Chr05	18479776	c	8	0.4
5	18391197.5	Chr05	15236462.5	a	12	1.2
8	26331283	Chr05	957702	a	16	0.8
5	6108726.5	Chr05	2551514	d	12	1.2
1	13260414.5	Chr05	7629322	c	12	1.2
5	9843278.5	Chr05	6171049	c	12	1.2
4	10031108.5	Chr05	1264058.5	c	12	1.2
10	15440860	Chr05	24629956	b	16	0.8
3	8819413	Chr05	25634472	d	12	1.2
5	5523696.5	Chr05	4525146	b	12	1.2
5	9843278.5	Chr05	7896247.5	a	12	1.2
1	12815023	Chr05	7628214	b	12	1.2
4	15656254	Chr05	24131152.5	a	12	1.2
12	22187400	Chr05	20999489.5	a	8	0.4
5	5752743	Chr05	2077667	a	12	1.2
1	13260414.5	Chr05	7630746	a	12	1.2
5	12046411.5	Chr05	7891951.5	b	12	1.2
5	19868567.5	Chr05	16125744	a	12	1.2
5	13194938.5	Chr05	8534315	a	12	1.2
5	9843278.5	Chr05	6154181.5	a	12	1.2
5	9843278.5	Chr05	6159612.5	c	12	1.2
5	29844923	Chr05	26488833	b	12	1.2
9	7317110	Chr05	11665850	b	16	0.8
5	5667779	Chr05	2550786.5	a	12	1.2
5	5667779	Chr05	1968491	c	12	1.2
10	13354730	Chr05	11111023.5	b	16	0.8
10	13448491	Chr05	11110343.5	a	16	0.8
1	1538650	Chr05	23053467	d	8	0.4
3	29783097.5	Chr05	6510505	c	12	1.2
4	19305895.5	Chr05	17453702	c	12	1.2
5	19338118	Chr05	7895399	b	12	1.2
5	18992143	Chr05	15236787	c	12	1.2
10	13448491	Chr05	7616172.5	a	16	0.8
5	18992143	Chr05	15136371.5	c	12	1.2
5	8504522.5	Chr06	7489003	a	12	1.2
6	19363824.5	Chr06	14282977	d	12	1.2
6	24160551.5	Chr06	2814361.5	b	12	1.2
8	26409092.5	Chr06	15890312	d	16	0.8
6	7431671.5	Chr06	2062768.5	d	12	1.2
6	20011418	Chr06	15527102	c	12	1.2
6	18274192	Chr06	15850601	b	12	1.2
5	20463714	Chr06	21304510	b	12	1.2
6	23106990.5	Chr06	14281616	c	12	1.2
4	5208280	Chr06	6512133.5	d	12	1.2
1	21670198.5	Chr06	9878347.5	c	16	0.8
6	6986920.5	Chr06	1924893.5	b	12	1.2
6	24160551.5	Chr06	11388757	c	12	1.2
6	13264637	Chr06	11651300.5	d	12	1.2
1	39680619.5	Chr06	13224743	c	12	1.2
6	16918186.5	Chr06	18164214.5	a	12	1.2
6	25931546	Chr06	20597470.5	c	12	1.2
2	1375633.5	Chr06	15215947	c	12	1.2
6	29110760.5	Chr06	23550697	c	12	1.2
6	18715049.5	Chr06	13498834	a	12	1.2
6	11365410	Chr06	7820039	c	12	1.2
2	9262852	Chr06	19670135	c	12	1.2
6	26809636	Chr06	21519018	b	12	1.2
6	9359322	Chr06	4146283	a	12	1.2
6	24160551.5	Chr06	2791326.5	d	12	1.2
6	6680655.5	Chr06	2160682	d	12	1.2
6	27238237.5	Chr06	21703795	d	12	1.2
9	7054895	Chr06	13625007	d	16	0.8
6	20011418	Chr06	13497938	d	12	1.2
6	27979929	Chr06	22269820	d	12	1.2
6	26418738	Chr06	18165975	a	12	1.2
6	12627606.5	Chr06	7816895	a	12	1.2
6	8560843	Chr06	3335893.5	b	12	1.2
6	19061418.5	Chr06	12544950.5	c	12	1.2
8	22643695.5	Chr06	1927465.5	d	16	0.8
9	7821649	Chr06	13626717.5	d	16	0.8
6	9832590.5	Chr06	25325895.5	d	12	1.2
6	5603477.5	Chr06	265494.5	b	12	1.2
6	7311594.5	Chr06	1927465.5	b	12	1.2
6	27238237.5	Chr06	21408020	b	12	1.2
6	26809636	Chr06	21304510	b	12	1.2
6	12053142	Chr06	7818018.5	c	12	1.2
6	11365410	Chr06	12297217.5	d	12	1.2
6	26809636	Chr06	21409176	a	12	1.2
6	26809636	Chr06	21703958	c	12	1.2
11	28305379.5	Chr06	11390738	a	8	0.4
12	21358139	Chr06	596599.5	c	8	0.4
1	15414550	Chr06	21411571	d	12	1.2
6	13264637	Chr06	25255506.5	c	12	1.2
6	14684536	Chr06	9914980	b	12	1.2
10	13354730	Chr06	19920126.5	d	16	0.8
5	5523696.5	Chr06	17505851.5	c	12	1.2
6	29303206.5	Chr06	23931936.5	d	12	1.2
6	11308597.5	Chr06	7792329	c	12	1.2
6	27238237.5	Chr06	21846252.5	c	12	1.2
6	5922998	Chr06	1105900.5	c	12	1.2
12	25610383.5	Chr06	1277553.5	c	8	0.4
6	13264637	Chr06	8061691.5	c	12	1.2
10	18157762.5	Chr06	199629	d	16	0.8
6	23106990.5	Chr06	17335659	d	12	1.2
6	23106990.5	Chr06	18192076	d	12	1.2
7	15601015.5	Chr07	8818443.5	c	12	1.2
7	13001517.5	Chr07	6070447	a	12	1.2
7	22278486.5	Chr07	16215125.5	b	12	1.2
7	15601015.5	Chr07	8650859.5	b	12	1.2
4	19305895.5	Chr07	17867523.5	d	12	1.2
4	20038184.5	Chr07	14476428	d	12	1.2
7	8618269	Chr07	1993741.5	d	12	1.2
7	8618269	Chr07	1990840.5	d	12	1.2
7	24598072.5	Chr07	17455819	a	12	1.2
11	27863523	Chr07	5256488.5	c	8	0.4
12	12810911	Chr07	28001572	b	8	0.4
7	18616469	Chr07	8650945.5	a	12	1.2
7	22644991	Chr07	15898816	d	12	1.2
6	15669520.5	Chr07	6792589.5	b	12	1.2
7	8618269	Chr07	1994252.5	a	12	1.2
7	23019683.5	Chr07	16215848	a	12	1.2
7	8618269	Chr07	1993187.5	a	12	1.2
7	23778298.5	Chr07	17279676.5	b	12	1.2
7	11812090.5	Chr07	5530020	c	12	1.2
2	1273459.5	Chr07	22393529	c	12	1.2
7	18616469	Chr07	11361476.5	c	12	1.2
7	23019683.5	Chr07	14981930	d	12	1.2
3	6973376	Chr07	9461928.5	c	12	1.2
8	26069243.5	Chr07	13916157.5	a	16	0.8
7	23671993	Chr07	14983624.5	d	12	1.2
6	26809636	Chr08	24339342	a	12	1.2
8	12943929.5	Chr08	4684673.5	b	16	0.8
6	12493716	Chr08	11220704.5	c	12	1.2
8	13079227.5	Chr08	6350396	a	16	0.8
1	4223584	Chr08	11216679.5	c	12	1.2
8	12091370.5	Chr08	4237315.5	a	16	0.8
9	9883700	Chr08	16942847	c	16	0.8
2	2857918	Chr08	12993959	a	12	1.2
8	12943929.5	Chr08	5964036.5	c	16	0.8
8	15839494.5	Chr08	8159745.5	d	16	0.8
8	22547792.5	Chr08	10077152.5	d	16	0.8
8	10506076	Chr08	2104687.5	c	16	0.8
6	21842352.5	Chr08	2895814	c	12	1.2
8	14782195.5	Chr08	7432748.5	d	16	0.8
8	23805745.5	Chr08	14382097.5	b	16	0.8
8	11799606.5	Chr08	3805543.5	c	16	0.8
8	26444907	Chr08	16898259.5	c	16	0.8
8	26409092.5	Chr08	18794604.5	a	16	0.8
8	10506076	Chr08	2099207	a	16	0.8
8	16348707	Chr08	8157272.5	c	16	0.8
8	24661121.5	Chr08	16644540.5	a	16	0.8
8	23546723	Chr08	14914561.5	b	16	0.8
8	23897157	Chr08	15729444	b	16	0.8
