chr	position	value	color
1	202360	0.315	a
1	213775	1.113	a
1	218457	0.393	a
1	223744	0.023	a
1	253965	0.432	a
1	255557	0.432	a
1	260059	0.066	a
1	301759	0.432	a
1	320832	0.432	a
1	381831	0.497	a
1	409573	0.383	a
1	414321	0.383	a
1	434561	0.483	a
1	439984	0.219	a
1	440674	0.64	a
1	482593	0.289	a
1	490910	0.123	a
1	499541	0.362	a
1	530906	0.289	a
1	534478	0.12	a
1	535340	0.423	a
1	544049	0.289	a
1	590382	0.292	a
1	686516	0.477	a
1	746447	1.675	a
1	749341	1.448	a
1	751255	1.542	a
1	752567	0.115	a
1	764998	0.104	a
1	798455	2.206	a
1	850562	0.503	a
1	857782	0.55	a
1	957398	0.369	a
1	966810	1.566	a
1	1000636	0.369	a
1	1010852	0.369	a
1	1012621	0.369	a
1	1036532	0.289	a
1	1120740	0.157	a
1	1228830	0.289	a
1	1250846	0.156	a
1	1318371	0.232	a
1	1352009	0.289	a
1	1357062	0.289	a
1	1357480	0.306	a
1	1365265	0.159	a
1	1366768	0.378	a
1	1485998	0.289	a
1	1495745	0.123	a
1	1498431	0.129	a
1	1504051	0.04	a
1	1506279	0.04	a
1	1534094	0.49	a
1	1544091	0.29	a
1	1602324	0.29	a
1	1620214	0.165	a
1	1639420	0.388	a
1	1672745	0.053	a
1	1688368	0.059	a
1	1731019	0.182	a
1	1738514	0.066	a
1	1779545	0.505	a
1	1782371	0.452	a
1	1786070	0.331	a
1	1791149	0.773	a
1	1799661	0.35	a
1	1807586	0.236	a
1	1823504	0.776	a
1	1870845	0.236	a
1	1887184	0.011	a
1	1892500	0.011	a
1	1895722	0.011	a
1	1896590	0.167	a
1	1926411	0.685	a
1	1935949	0.167	a
1	1937163	0.167	a
1	1937779	0.523	a
1	1943412	0.12	a
1	1960190	0.705	a
1	1968189	1.343	a
1	2014441	0.9	a
1	2066091	0.347	a
1	2067744	0.006	a
1	2087099	0.518	a
1	2104344	0.093	a
1	2113522	0.256	a
1	2132749	0.059	a
1	2135668	0.059	a
1	2136442	0.069	a
1	2241014	0.9	a
1	2290546	0.22	a
1	2330237	1.821	a
1	2356409	0.14	a
1	2385124	0.241	a
1	2385976	0.09	a
1	2400907	0.751	a
1	2400935	0.755	a
1	2404784	0.755	a
1	2416099	0.179	a
1	2421534	0.447	a
1	2421783	0.134	a
1	2463911	0.78	a
1	2511326	0.299	a
1	2527991	0.26	a
1	2538736	0.094	a
1	2541839	0.077	a
1	2542074	0.76	a
1	2547317	0.501	a
1	2556559	0.022	a
1	2565820	0.149	a
1	2569149	1.154	a
1	2577902	0.149	a
1	2578503	1.778	a
1	2591414	0.027	a
1	2594793	1.875	a
1	2618349	0.14	a
1	2622823	0.613	a
1	2624942	0.185	a
1	2625596	0.071	a
1	2655094	0.907	a
1	2655967	0.524	a
1	2662567	0.48	a
1	2676253	0.742	a
1	2686164	0.54	a
1	2703764	1.166	a
1	2727758	0.201	a
1	2729295	0.484	a
1	2740403	0.484	a
1	2754308	0.212	a
1	2775901	0.115	a
1	2780522	0.1	a
1	2797268	0.14	a
1	2797450	0.742	a
1	2806688	1.328	a
1	2807606	0.044	a
1	2814146	0.044	a
1	2832350	0.135	a
1	2835532	0.135	a
1	2842469	0.271	a
1	2873079	0.135	a
1	2917351	0.332	a
1	2929441	0.652	a
1	2929595	0.348	a
1	2947981	0.54	a
1	2970025	1.303	a
1	3014322	1.303	a
1	3027405	1.528	a
1	3055271	0.814	a
1	3057791	0.827	a
1	3078698	0.419	a
1	3083714	0.814	a
1	3087620	0.814	a
1	3093534	0.013	a
1	3121068	0.374	a
1	3132621	0.137	a
1	3133484	0.137	a
1	3142702	0.122	a
1	3142881	0.046	a
1	3147556	0.512	a
1	3165177	1.487	a
1	3175040	0.102	a
1	3178730	0.809	a
1	3182303	0.195	a
1	3185600	0.374	a
1	3191515	0.502	a
1	3221867	0.698	a
1	3223389	0.199	a
1	3224446	0.214	a
1	3224627	0.214	a
1	3227458	0.005	a
1	3230027	0.245	a
1	3241505	0.124	a
1	3249743	0.37	a
1	3255527	0.212	a
1	3282087	0.558	a
1	3282575	0.37	a
1	3288826	0.37	a
1	3295128	0.397	a
1	3312403	0.161	a
1	3328064	0.672	a
1	3330510	0.672	a
1	3339172	0.672	a
1	3342135	0.672	a
1	3354988	0.133	a
1	3368492	0.278	a
1	3375137	0.053	a
1	3384072	0.14	a
1	3387652	0.005	a
1	3423254	0.04	a
1	3447147	0.428	a
1	3465153	0.87	a
1	3483860	0.366	a
1	3485313	0.024	a
1	3487847	0.348	a
1	3570268	0.137	a
1	3603939	0.375	a
1	3635242	0.63	a
1	3657363	0.752	a
1	3657432	0.006	a
1	3698862	0.668	a
1	3710072	0.727	a
1	3768110	0.06	a
1	3802879	0.283	a
1	3803152	0.013	a
1	3823824	0.23	a
1	3827376	0.181	a
1	3879162	0.23	a
1	3881671	0.23	a
1	3891823	0.23	a
1	3893159	0.23	a
1	3897754	0.392	a
1	3899185	0.23	a
1	3942304	0.168	a
1	3967411	0.282	a
1	4044813	0.145	a
1	4214574	0.4	a
1	4226446	0.711	a
1	4263473	0.711	a
1	4277973	0.08	a
1	4283628	0.862	a
1	4292187	0.862	a
1	4297272	0.862	a
1	4423940	0.886	a
1	4463877	0.078	a
1	4540874	0.088	a
1	4579119	1.538	a
1	4579801	2.017	a
1	4614879	0.25	a
1	4658948	0.162	a
1	4686503	0.065	a
1	4722906	0.065	a
1	4752560	0.884	a
1	4813442	0.302	a
1	4923974	0.813	a
1	4928345	0.839	a
1	4938318	0.839	a
1	4944380	0.767	a
1	4948360	0.839	a
1	4956936	0.176	a
1	4980971	0.784	a
1	4987803	1.015	a
1	5190835	1.887	a
1	5426862	0.893	a
1	5458700	1.011	a
1	5631673	0.782	a
1	5638255	0.844	a
1	5639844	0.694	a
1	5658863	0.782	a
1	5666362	1.537	a
1	5666476	1.604	a
1	5671398	0.782	a
1	5678137	0.782	a
1	5708586	0.988	a
1	5746491	1.384	a
1	5747128	1.384	a
1	5748403	1.738	a
1	5758890	1.384	a
1	5779514	0.096	a
1	5849824	0.096	a
1	5868223	0.212	a
1	5927050	0.057	a
1	5951231	0.663	a
1	5954829	0.096	a
1	5961663	0.179	a
1	6009845	0.26	a
1	6049435	0.884	a
1	6061248	0.413	a
1	6061555	0.323	a
1	6097106	0.053	a
1	6104558	0.032	a
1	6120496	0.116	a
1	6145014	0.328	a
1	6146278	0.135	a
1	6157458	0.323	a
1	6181535	0.201	a
1	6189722	0.251	a
1	6229421	0.352	a
1	6229586	0.271	a
1	6254343	0.606	a
1	6256140	0.24	a
1	6260035	0.187	a
1	6277029	0.213	a
1	6288870	0.044	a
1	6309213	0.19	a
1	6321559	0.505	a
1	6329721	0.32	a
1	6330059	0.342	a
1	6332825	0.17	a
1	6333228	0.213	a
1	6352388	0.144	a
1	6354944	0.219	a
1	6365449	0.398	a
1	6367713	0.174	a
1	6584909	0.197	a
1	6593996	1.332	a
1	6602550	1.48	a
1	6641184	1.611	a
1	6670304	3.221	a
1	6680807	0.559	a
1	6681511	3.221	a
1	6683572	3.221	a
1	6684742	3.096	a
1	6717099	3.096	a
1	6721061	3.096	a
1	6723009	3.221	a
1	6724036	0.963	a
1	6727246	1.932	a
1	6730757	3.221	a
1	6731576	3.221	a
1	6766932	3.221	a
1	6817428	0.156	a
1	6835399	2.943	a
1	6838192	1.605	a
1	6838281	2.776	a
1	6853694	3.591	a
1	6874099	1.921	a
1	6896362	0.574	a
1	6905614	3.573	a
1	6920155	1.731	a
1	6941668	0.451	a
1	6945751	0.06	a
1	6959489	0.06	a
1	6962229	0.06	a
1	6996649	0.112	a
1	7006328	0.112	a
1	7014801	0.432	a
1	7015890	0.521	a
1	7040499	0.444	a
1	7040575	0.06	a
1	7056742	0.498	a
1	7060402	0.432	a
1	7106935	0.802	a
1	7110083	0.802	a
1	7124387	0.802	a
1	7125781	0.802	a
1	7129062	0.802	a
1	7137692	0.449	a
1	7140816	0.344	a
1	7188291	0.58	a
1	7196021	1.089	a
1	7253791	1.134	a
1	7261254	1.159	a
1	7304925	0.765	a
1	7395453	0.282	a
1	7465280	0.587	a
1	7795217	0.244	a
1	7837905	0.702	a
1	8725835	0.473	a
1	8821479	0.162	a
1	8969368	0.082	a
1	9078606	0.908	a
1	9097989	0.908	a
1	9366794	0.187	a
1	9437781	0.205	a
1	9458243	0.023	a
1	9908065	0.841	a
1	10154828	0.203	a
1	10177045	1.14	a
1	10544070	0.763	a
1	10798395	0.48	a
1	10953671	0.379	a
1	10979029	0.131	a
1	11151717	0.032	a
1	11155495	0.024	a
1	11242733	0.138	a
1	11246367	0.013	a
1	11435093	0.162	a
1	11435148	0.3	a
1	11705276	0.226	a
1	11859086	0.561	a
1	11897320	0.144	a
1	11967579	0.098	a
1	12167320	1.168	a
1	12172233	1.261	a
1	12187311	0.03	a
1	12211563	0.108	a
1	12216265	0.107	a
1	12295870	0.024	a
1	12316789	0.214	a
1	12331578	0.022	a
1	12410395	0.326	a
1	12417698	0.326	a
1	12417761	0.326	a
1	12441442	0.326	a
1	12457424	0.077	a
1	12558375	0.167	a
1	12559215	0.227	a
1	12562530	0.012	a
1	12574066	0.092	a
1	12580577	0.167	a
1	12596977	0.084	a
1	12617945	0.159	a
1	12637090	0.159	a
1	12641075	0.312	a
1	12756575	1.665	a
1	12761155	0.679	a
1	12771017	0.567	a
1	12870218	1.361	a
1	12898558	1.098	a
1	12914271	1.155	a
1	13053559	0.096	a
1	13098986	0.754	a
1	13105739	1.538	a
1	13146823	0.83	a
1	13165785	0.679	a
1	13181695	1.755	a
1	13194182	1.242	a
1	13221309	1.286	a
1	13231760	0.747	a
1	13241915	1.242	a
1	13310779	0.26	a
1	13324774	1.18	a
1	13331932	1.558	a
1	13351735	0.236	a
1	13405716	1.101	a
1	13497440	0.737	a
1	13514761	0.58	a
1	13570066	0.282	a
1	13570278	0.282	a
1	13573716	0.524	a
1	13575201	0.524	a
1	13579827	0.524	a
1	13600219	0.043	a
1	13705522	0.282	a
1	13820742	0.775	a
1	13820980	0.775	a
1	13917221	0.996	a
1	13919384	0.996	a
1	13931025	0.996	a
1	13932133	0.996	a
1	13960583	0.83	a
1	14040176	0.133	a
1	14057516	0.441	a
1	14236395	0.199	a
1	14523826	0.527	a
1	14546389	0.385	a
1	14620765	0.662	a
1	14847687	0.405	a
1	14849938	0.405	a
1	14901232	0.233	a
1	14902515	0.233	a
1	14961452	0.233	a
