chr	start	stop	color
1	1	100000	A
1	100001	200000	C
1	200001	300000	A
1	300001	400000	C
1	400001	500000	C
1	500001	600000	A
1	600001	700000	A
1	700001	800000	A
1	800001	900000	A
1	900001	1000000	A
1	1000001	1100000	A
1	1100001	1200000	A
1	1200001	1300000	A
1	1300001	1400000	A
1	1400001	1500000	A
1	1500001	1600000	A
1	1600001	1700000	A
1	1700001	1800000	A
1	1800001	1900000	A
1	1900001	2000000	A
1	2000001	2100000	A
1	2100001	2200000	B
1	2200001	2300000	A
1	2300001	2400000	A
1	2400001	2500000	A
1	2500001	2600000	B
1	2600001	2700000	B
1	2700001	2800000	C
1	2800001	2900000	C
1	2900001	3000000	C
1	3000001	3100000	B
1	3100001	3200000	A
1	3200001	3300000	B
1	3300001	3400000	C
1	3400001	3500000	C
1	3500001	3600000	C
1	3600001	3700000	C
1	3700001	3800000	C
1	3800001	3900000	C
1	3900001	4000000	B
1	4000001	4100000	B
1	4100001	4200000	B
1	4200001	4300000	B
1	4300001	4400000	B
1	4400001	4500000	B
1	4500001	4600000	B
1	4600001	4700000	A
1	4700001	4800000	A
1	4800001	4900000	B
1	4900001	5000000	A
1	5000001	5100000	A
1	5100001	5200000	A
1	5200001	5300000	A
1	5300001	5400000	A
1	5400001	5500000	A
1	5500001	5600000	A
1	5600001	5700000	A
1	5700001	5800000	A
1	5800001	5900000	A
1	5900001	6000000	A
1	6000001	6100000	A
1	6100001	6200000	A
1	6200001	6300000	A
1	6300001	6400000	A
1	6400001	6500000	A
1	6500001	6600000	A
1	6600001	6700000	A
1	6700001	6800000	A
1	6800001	6900000	A
1	6900001	7000000	A
1	7000001	7100000	A
1	7100001	7200000	A
1	7200001	7300000	C
1	7300001	7400000	C
1	7400001	7500000	A
1	7500001	7600000	A
1	7600001	7700000	A
1	7700001	7800000	C
1	7800001	7900000	C
1	7900001	8000000	C
1	8000001	8100000	C
1	8100001	8200000	A
1	8200001	8300000	C
1	8300001	8400000	C
1	8400001	8500000	C
1	8500001	8600000	A
