chr	start	stop	TE	NTE	TR	NR
1	1	100000	4	29	17	45
1	10000001	10100000	9	14	20	28
1	1000001	1100000	1	16	-5	29
1	100001	200000	8	18	16	19
1	10100001	10200000	4	12	13	20
1	10200001	10300000	2	9	1	14
1	10300001	10400000	2	14	6	22
1	10400001	10500000	9	5	19	0
1	10500001	10600000	6	8	16	13
1	10600001	10700000	0	21	8	34
1	10700001	10800000	11	7	21	19
1	10800001	10900000	3	19	10	30
1	10900001	11000000	5	15	9	20
1	11000001	11100000	1	9	0	16
1	1100001	1200000	3	19	12	23
1	11100001	11200000	9	8	9	11
1	11200001	11300000	1	17	7	21
1	11300001	11400000	9	9	23	14
1	11400001	11500000	6	7	13	16
1	11500001	11600000	2	13	14	15
1	11600001	11700000	0	19	7	36
1	11700001	11800000	6	15	14	22
1	11800001	11900000	5	13	10	24
1	11900001	12000000	6	12	24	1
1	12000001	12100000	6	6	1	17
1	1200001	1300000	2	7	9	14
1	12100001	12200000	2	11	5	23
1	12200001	12300000	2	16	9	22
1	12300001	12400000	2	14	7	21
1	12400001	12500000	9	5	20	13
1	12500001	12600000	5	8	21	12
1	12600001	12700000	1	16	12	21
1	12700001	12800000	6	13	16	20
1	12800001	12900000	9	11	17	18
1	12900001	13000000	5	10	11	3
1	13000001	13100000	16	1	16	14
1	1300001	1400000	3	22	1	31
1	13100001	13200000	9	8	18	13
1	13200001	13300000	4	14	15	25
1	13300001	13400000	2	18	3	32
1	13400001	13500000	8	7	8	14
1	13500001	13600000	2	15	8	25
1	13600001	13700000	15	2	23	2
1	13700001	13800000	8	10	23	15
1	13800001	13900000	9	15	21	16
1	13900001	14000000	2	17	9	24
1	14000001	14100000	5	12	12	16
1	1400001	1500000	4	12	14	28
1	14100001	14200000	6	10	6	12
1	14200001	14300000	1	17	5	25
1	14300001	14400000	1	11	4	17
1	14400001	14500000	2	13	7	19
1	14500001	14600000	8	9	13	17
1	14600001	14700000	6	6	13	4
1	14700001	14800000	5	21	10	19
1	14800001	14900000	3	8	7	24
1	14900001	15000000	3	11	3	15
1	15000001	15100000	15	8	25	4
1	1500001	1600000	3	16	7	28
1	15100001	15200000	4	14	1	24
1	15200001	15300000	4	10	15	10
1	15300001	15400000	8	10	15	9
1	15400001	15500000	3	14	8	29
1	15500001	15600000	4	6	10	14
1	15600001	15700000	9	8	9	8
1	15700001	15800000	7	8	14	22
1	15800001	15900000	8	7	11	13
1	15900001	16000000	9	11	15	16
1	16000001	16100000	4	21	8	16
1	1600001	1700000	3	10	8	22
1	16100001	16200000	9	7	16	9
1	16200001	16300000	14	10	15	14
1	16300001	16400000	9	7	16	8
1	16400001	16500000	8	9	0	11
1	16500001	16600000	9	4	11	11
1	16600001	16700000	12	7	5	15
1	16700001	16800000	3	7	4	14
1	16800001	16900000	4	0	7	5
1	16900001	17000000	11	2	15	17
1	17000001	17100000	13	6	13	13
1	1700001	1800000	0	17	8	20
1	17100001	17200000	16	8	23	18
1	17200001	17300000	4	7	12	18
