chrX	startX	stopX	chrY	startY	stopY	color
12	50500000	51000000	Chr12	52500000	53000000	0.668137
1	69000000	69500000	Chr07	51500000	52000000	0.672372
9	54000000	54500000	Chr09	63500000	64000000	1.008274
3	88500000	89000000	Chr17	53500000	54000000	0.487604
15	241500000	242000000	Chr16	81000000	81500000	1.811952
16	156000000	156500000	Chr17	150000000	150500000	0.571564
7	62000000	62500000	Chr07	76000000	76500000	1.009297
5	62500000	63000000	Chr11	115500000	116000000	0.906483
11	187000000	187500000	Chr11	191000000	191500000	0.686668
11	192500000	193000000	Chr11	196000000	196500000	0.629175
8	74000000	74500000	Chr21	4000000	4500000	0.685619
5	88500000	89000000	Chr18	76500000	77000000	1.167508
9	65500000	66000000	Chr16	165000000	165500000	0.814327
13	39000000	39500000	Chr13	39000000	39500000	3.465074
15	14500000	15000000	Chr15	31500000	32000000	0.573195
6	64000000	64500000	Chr10	44500000	45000000	0.698289
19	14000000	14500000	Chr19	14500000	15000000	3.210902
15	143000000	143500000	Chr22	100000000	100500000	1.014526
17	189500000	190000000	Chr19	161000000	161500000	0.670086
3	16000000	16500000	Chr03	21500000	22000000	0.885817
16	111000000	111500000	Chr16	152500000	153000000	0.690749
12	18000000	18500000	Chr12	57500000	58000000	0.919197
16	14000000	14500000	Chr16	69500000	70000000	0.847842
22	75500000	76000000	Chr22	75500000	76000000	1.595276
6	46500000	47000000	Chr06	52500000	53000000	0.65912
22	1000000	1500000	Chr22	1000000	1500000	1.62353
3	95000000	95500000	Chr03	119000000	119500000	0.7902
5	79500000	80000000	Chr12	51500000	52000000	0.795912
15	182500000	183000000	Chr18	139500000	140000000	0.964366
21	82000000	82500000	Chr21	101500000	102000000	0.998849
3	80500000	81000000	Chr04	50000000	50500000	0.705652
15	159000000	159500000	Chr15	200000000	200500000	0.974772
15	97000000	97500000	Chr17	31000000	31500000	1.381899
19	164500000	165000000	Chr19	165000000	165500000	2.228255
12	5500000	6000000	Chr12	11500000	12000000	0.951904
20	70000000	70500000	Chr22	85500000	86000000	0.854249
18	38000000	38500000	Chr18	50000000	50500000	0.388863
24	98000000	98500000	Chr24	112500000	113000000	1.07801
17	68500000	69000000	Chr18	22500000	23000000	0.766613
17	61500000	62000000	Chr17	78000000	78500000	1.048081
20	149000000	149500000	Chr20	157500000	158000000	1.95619
15	52500000	53000000	Chr15	221000000	221500000	0.505947
17	23500000	24000000	Chr17	80500000	81000000	0.933693
24	143000000	143500000	Chr24	143000000	143500000	2.874943
1	128000000	128500000	Chr21	58000000	58500000	0.704076
21	96500000	97000000	Chr21	100500000	101000000	0.961002
2	104000000	104500000	Chr02	104500000	105000000	1.798078
20	79000000	79500000	Chr24	130000000	130500000	1.226095
19	106500000	107000000	Chr20	115500000	116000000	0.803173
9	75500000	76000000	Chr16	29500000	30000000	0.715072
14	33000000	33500000	Chr14	34000000	34500000	1.439472
18	25000000	25500000	Chr18	36000000	36500000	0.85567
24	41000000	41500000	Chr24	41500000	42000000	1.396631
18	110500000	111000000	Chr18	113000000	113500000	0.585916
16	54000000	54500000	Chr16	80000000	80500000	0.669758
2	129500000	130000000	Chr16	168000000	168500000	0.885936
5	99500000	100000000	Chr12	39000000	39500000	0.621977
20	18000000	18500000	Chr22	74000000	74500000	0.547679
10	2500000	3000000	Chr10	42000000	42500000	1.790677
12	25500000	26000000	Chr20	137000000	137500000	1.129169
19	51500000	52000000	Chr20	122500000	123000000	0.481693
15	147000000	147500000	Chr17	97000000	97500000	0.992248
1	10000000	10500000	Chr01	16000000	16500000	0.918016
9	21000000	21500000	Chr11	171000000	171500000	0.563392
1	29500000	30000000	Chr01	29500000	30000000	2.495782
4	93500000	94000000	Chr06	32000000	32500000	1.526496
3	41000000	41500000	Chr19	18000000	18500000	0.873443
2	25000000	25500000	Chr02	30500000	31000000	0.943634
5	73000000	73500000	Chr10	48500000	49000000	1.145798
1	92500000	93000000	Chr01	92500000	93000000	1.186646
24	126500000	127000000	Chr24	128000000	128500000	1.082201
18	25500000	26000000	Chr18	99000000	99500000	1.510301
21	12500000	13000000	Chr21	63000000	63500000	0.816389
21	72500000	73000000	Chr21	79500000	80000000	1.342286
7	34500000	35000000	Chr21	5500000	6000000	2.068119
5	99000000	99500000	Chr24	28000000	28500000	1.438776
3	52000000	52500000	Chr05	51000000	51500000	0.709974
19	63000000	63500000	Chr20	141500000	142000000	1.492698
8	70000000	70500000	Chr16	138000000	138500000	1.073709
6	69500000	70000000	Chr11	179000000	179500000	1.613698
17	164000000	164500000	Chr24	63500000	64000000	1.12605
15	3000000	3500000	Chr15	74500000	75000000	1.407895
11	208500000	209000000	Chr22	8000000	8500000	0.521599
15	6000000	6500000	Chr15	6000000	6500000	1.933606
16	29000000	29500000	Chr16	37000000	37500000	0.596655
15	26500000	27000000	Chr15	43500000	44000000	0.944368
6	55500000	56000000	Chr19	160000000	160500000	1.070168
15	19500000	20000000	Chr15	45000000	45500000	1.156611
24	26500000	27000000	Chr24	36500000	37000000	0.734028
15	21500000	22000000	Chr15	52500000	53000000	0.586731
24	118500000	119000000	Chr24	129500000	130000000	1.365296
9	26500000	27000000	Chr17	145000000	145500000	0.577979
2	123000000	123500000	Chr24	87000000	87500000	0.513235
5	56000000	56500000	Chr05	72500000	73000000	0.48204
12	55000000	55500000	Chr12	55000000	55500000	1.401393
18	111000000	111500000	Chr20	119000000	119500000	0.643613
18	6000000	6500000	Chr18	26500000	27000000	0.937836
16	23000000	23500000	Chr20	103500000	104000000	0.577148
19	38500000	39000000	Chr22	138000000	138500000	1.470979
4	92000000	92500000	Chr04	92500000	93000000	0.843715
1	18500000	19000000	Chr01	24500000	25000000	0.505101
2	99000000	99500000	Chr02	108000000	108500000	0.502004
16	82500000	83000000	Chr16	130000000	130500000	1.022314
17	11000000	11500000	Chr17	18500000	19000000	0.892551
17	139500000	140000000	Chr18	129500000	130000000	0.95559
17	178000000	178500000	Chr17	178000000	178500000	3.634695
10	22000000	22500000	Chr17	5000000	5500000	1.097064
7	68000000	68500000	Chr08	40000000	40500000	1.837148
15	138500000	139000000	Chr19	42000000	42500000	0.671365
9	33500000	34000000	Chr16	176500000	177000000	0.821206
3	85000000	85500000	Chr17	172500000	173000000	1.144002
19	135000000	135500000	Chr19	156500000	157000000	0.6819
11	226500000	227000000	Chr24	91500000	92000000	3.290112
20	116500000	117000000	Chr20	157500000	158000000	1.200748
2	46000000	46500000	Chr04	52500000	53000000	0.679712
19	130000000	130500000	Chr19	133500000	134000000	0.575911
15	154000000	154500000	Chr15	156500000	157000000	0.604395
6	53000000	53500000	Chr20	69500000	70000000	1.155856
11	28000000	28500000	Chr20	52000000	52500000	1.391587
6	46000000	46500000	Chr13	21500000	22000000	1.199965
2	7500000	8000000	Chr18	18000000	18500000	0.873822
1	21500000	22000000	Chr18	15000000	15500000	1.090985
24	102500000	103000000	Chr24	139000000	139500000	1.357727
19	18000000	18500000	Chr19	51500000	52000000	0.568508
11	95000000	95500000	Chr11	109500000	110000000	0.853594
11	213500000	214000000	Chr18	169000000	169500000	0.484639
6	45500000	46000000	Chr06	57000000	57500000	0.700789
2	134500000	135000000	Chr04	112500000	113000000	2.178171
15	141000000	141500000	Chr20	90500000	91000000	0.717274
1	111000000	111500000	Chr16	12000000	12500000	0.82312
8	57000000	57500000	Chr08	57000000	57500000	2.58947
21	131500000	132000000	Chr22	87000000	87500000	0.958496
17	58500000	59000000	Chr19	48000000	48500000	0.667547
10	20500000	21000000	Chr10	22000000	22500000	2.793396
19	24500000	25000000	Chr19	25000000	25500000	1.127881
8	13000000	13500000	Chr08	13500000	14000000	1.616094
19	127500000	128000000	Chr19	148500000	149000000	0.822992
6	47500000	48000000	Chr10	9500000	10000000	0.616334
19	88500000	89000000	Chr20	87500000	88000000	0.482833
1	53500000	54000000	Chr06	35000000	35500000	0.625245
18	52000000	52500000	Chr18	53500000	54000000	1.191641
6	95000000	95500000	Chr15	35500000	36000000	1.389993
5	57000000	57500000	Chr05	79000000	79500000	0.949538
2	61500000	62000000	Chr12	45000000	45500000	1.310113
4	31000000	31500000	Chr12	2500000	3000000	1.025569
4	27000000	27500000	Chr22	25000000	25500000	1.07485
18	104500000	105000000	Chr18	110500000	111000000	0.660754
6	100500000	101000000	Chr20	37500000	38000000	0.969099
17	10500000	11000000	Chr17	11500000	12000000	2.332633
24	87500000	88000000	Chr24	98000000	98500000	0.681086
5	65000000	65500000	Chr05	66000000	66500000	0.867572
8	7000000	7500000	Chr11	68500000	69000000	1.73291
4	29000000	29500000	Chr04	33000000	33500000	0.708369
1	104500000	105000000	Chr16	48500000	49000000	1.794582
4	58000000	58500000	Chr19	134000000	134500000	0.50345
21	6000000	6500000	Chr21	15500000	16000000	1.278367
1	17000000	17500000	Chr01	18500000	19000000	0.446996
18	96500000	97000000	Chr18	119000000	119500000	0.627951
16	159500000	160000000	Chr16	159500000	160000000	4.99452
4	74500000	75000000	Chr04	75000000	75500000	1.462844
6	99500000	100000000	Chr24	86500000	87000000	1.157806
15	147500000	148000000	Chr15	153500000	154000000	0.765785
11	145000000	145500000	Chr15	158500000	159000000	0.464257
3	123500000	124000000	Chr03	124000000	124500000	3.138404
1	116500000	117000000	Chr11	194500000	195000000	1.182971
15	18500000	19000000	Chr15	19000000	19500000	3.326049
21	18000000	18500000	Chr21	19000000	19500000	0.992211
12	25500000	26000000	Chr12	39000000	39500000	0.848921
3	88000000	88500000	Chr16	127500000	128000000	0.657588
1	118500000	119000000	Chr16	18000000	18500000	0.621398
15	33500000	34000000	Chr18	54500000	55000000	0.897116
1	109500000	110000000	Chr03	101000000	101500000	1.336605
8	14500000	15000000	Chr16	173000000	173500000	0.744198
18	162500000	163000000	Chr22	87500000	88000000	0.814752
17	14500000	15000000	Chr18	73000000	73500000	0.939078
11	84000000	84500000	Chr11	84500000	85000000	1.488868
18	27000000	27500000	Chr18	56500000	57000000	0.988515
10	8000000	8500000	Chr12	57000000	57500000	2.982229
15	5000000	5500000	Chr15	123000000	123500000	1.220557
7	11000000	11500000	Chr07	63500000	64000000	1.729736
18	11500000	12000000	Chr18	19500000	20000000	0.617907
15	50000000	50500000	Chr15	51500000	52000000	0.722145
1	107000000	107500000	Chr03	103000000	103500000	0.563203
13	21500000	22000000	Chr24	26000000	26500000	1.263667
15	218000000	218500000	Chr18	176000000	176500000	0.871025
18	93500000	94000000	Chr18	93500000	94000000	1.879629
1	33000000	33500000	Chr01	33500000	34000000	3.610489
18	25000000	25500000	Chr18	51500000	52000000	1.04495
18	15500000	16000000	Chr18	17000000	17500000	0.444431
1	6500000	7000000	Chr03	15500000	16000000	0.491469
4	38000000	38500000	Chr22	78500000	79000000	0.64189
11	198500000	199000000	Chr22	72000000	72500000	0.590879
15	184000000	184500000	Chr15	188500000	189000000	0.638247
3	54000000	54500000	Chr20	107500000	108000000	0.714821
16	95500000	96000000	Chr16	98000000	98500000	1.470581
17	123500000	124000000	Chr22	78500000	79000000	0.614296
4	46500000	47000000	Chr04	50000000	50500000	0.498948
11	164000000	164500000	Chr24	154000000	154500000	1.150023
11	20000000	20500000	Chr16	55000000	55500000	0.847082
24	25000000	25500000	Chr24	27000000	27500000	0.981054
4	57500000	58000000	Chr15	29000000	29500000	0.967478
3	68000000	68500000	Chr20	86500000	87000000	0.797532
17	69500000	70000000	Chr17	189000000	189500000	1.253342
4	21500000	22000000	Chr04	37000000	37500000	0.604894
10	15000000	15500000	Chr10	40500000	41000000	2.088963
3	13500000	14000000	Chr03	20000000	20500000	0.686766
15	209500000	210000000	Chr16	185000000	185500000	1.455186
13	39000000	39500000	Chr19	62500000	63000000	1.28753
16	113500000	114000000	Chr18	30500000	31000000	0.610199
2	109500000	110000000	Chr16	97000000	97500000	0.774533
2	88000000	88500000	Chr20	114000000	114500000	0.722728
2	33000000	33500000	Chr20	122500000	123000000	0.708872
4	92500000	93000000	Chr04	92500000	93000000	1.23213
4	37000000	37500000	Chr04	52000000	52500000	0.653686
3	23500000	24000000	Chr03	59000000	59500000	0.671932
1	82000000	82500000	Chr14	25500000	26000000	1.242378
4	86500000	87000000	Chr05	26500000	27000000	1.21286
1	51500000	52000000	Chr15	163000000	163500000	1.267799
17	2000000	2500000	Chr17	3000000	3500000	1.537105
5	36500000	37000000	Chr05	56000000	56500000	1.006343
11	62000000	62500000	Chr16	134000000	134500000	1.998278
22	30000000	30500000	Chr22	140500000	141000000	1.134884
10	33500000	34000000	Chr10	35000000	35500000	1.978049
17	61000000	61500000	Chr17	61000000	61500000	0.78816
11	68000000	68500000	Chr19	109500000	110000000	0.981944
19	101500000	102000000	Chr19	107500000	108000000	0.576769
3	82000000	82500000	Chr16	50000000	50500000	0.603029
16	153000000	153500000	Chr16	153500000	154000000	2.730404
15	22000000	22500000	Chr15	49500000	50000000	0.791974
2	61500000	62000000	Chr02	117000000	117500000	2.586818
11	79000000	79500000	Chr11	98000000	98500000	0.561627
4	84000000	84500000	Chr04	99000000	99500000	0.472215
12	19000000	19500000	Chr12	20000000	20500000	0.903807
11	100000000	100500000	Chr15	133000000	133500000	0.4894
11	79500000	80000000	Chr11	79500000	80000000	2.701668
