chrX	startX	stopX	chrY	startY	stopY
1	3571629	3648277	Chr01	3631006	3707623
10	8626250	8630087	Chr10	8061782	8065621
5	23769006	23769781	Chr04	20125043	20124269
4	12467561	12468892	Chr04	11613134	11614421
7	22883840	22886722	Chr07	22068770	22071708
10	13184437	13185847	Chr01	17744516	17743135
6	20086779	20087327	Chr12	20659649	20660197
1	14083570	14084154	Chr01	14269565	14270147
12	22101633	22112512	Chr12	20588482	20599336
11	21027448	21028598	Chr12	3025702	3024548
3	8755550	8755744	Chr03	8998199	8998393
12	8188280	8190616	Chr04	143365	141025
9	6930776	6931738	Chr08	21606483	21605518
4	29515141	29520471	Chr04	29165366	29170685
2	4493226	4499775	Chr02	4479540	4486071
8	18347375	18349415	Chr08	19557450	19559530
11	11207002	11238027	Chr11	10306849	10337781
4	30253680	30254423	Chr04	29875279	29876022
1	22647652	22650896	Chr01	21636232	21639469
8	17187415	17197367	Chr08	18444339	18454335
11	24195953	24196021	Chr11	25417493	25417562
1	31617690	31668339	Chr01	30835830	30886318
5	18779300	18794932	Chr05	17451010	17466655
6	12771289	12782317	Chr03	20431068	20442121
11	29676181	29676775	Chr11	13555789	13556386
2	19455195	19456754	Chr02	20098368	20099920
6	19042881	19046293	Chr09	3791876	3788446
10	4742311	4747128	Chr10	3971465	3976264
10	22375520	22411207	Chr10	22672911	22708530
10	17337833	17349083	Chr04	3053446	3042133
5	5813811	5814331	Chr05	5204144	5204678
12	15877411	15879066	Chr12	14659974	14661609
9	1067359	1074897	Chr09	1310361	1317885
3	29741925	29745919	Chr03	27240729	27244672
10	10212172	10220349	Chr10	9797729	9805828
2	20017917	20018237	Chr02	20681440	20681783
4	3659930	3660201	Chr04	3661055	3661317
12	24157015	24162795	Chr12	23002700	23008393
1	40286223	40286311	Chr01	39746062	39746150
10	9411557	9416314	Chr10	9224189	9228946
7	521389	521951	Chr07	76588	77145
4	10028807	10030535	Chr03	19776220	19774498
3	13789725	13919640	Chr03	13773902	13903904
2	13412189	13412995	Chr08	23198795	23197985
6	19462600	19462988	Chr06	17778406	17778794
1	3686388	3964068	Chr01	3757739	4035455
1	19367476	19368311	Chr01	19027503	19028338
3	28459359	28466100	Chr08	6515489	6522219
12	8248445	8249437	Chr12	8675436	8676412
