chr	start	stop	val1	val2	val3	val4	val5	val6
1	0	631164	a	e	c	c	a	b
1	631165	1749192	b	b	c	d	d	c
1	1749193	2077793	c	e	a	b	e	e
1	2077794	2612461	a	c	b	b	e	d
1	2612462	2938491	d	c	b	c	c	b
1	2938492	3176775	a	d	b	b	e	c
1	3176776	4109023	c	c	c	b	c	e
1	4109024	4221286	d	c	c	d	a	d
1	4221287	4232053	b	d	c	c	c	d
1	4232054	4329335	b	d	c	b	b	c
1	4329336	4364480	a	a	a	c	a	e
1	4364481	4784532	a	a	a	b	a	e
1	4784533	5715727	c	a	c	b	c	e
1	5715728	6137189	c	c	a	b	b	b
1	6137190	6232339	c	b	b	c	d	e
1	6232340	6787941	c	c	a	d	e	e
1	6787942	6916798	a	c	b	d	a	d
1	6916799	7170555	d	c	c	d	a	d
1	7170556	8691247	b	c	c	b	d	d
1	8691248	8734805	a	e	a	d	b	b
1	8734806	9073884	b	c	c	c	c	b
1	9073885	9734102	c	a	b	d	d	d
1	9734103	10565051	b	e	b	c	b	e
1	10565052	12103237	d	a	a	b	c	d
1	12103238	12651291	b	a	b	c	d	e
1	12651292	12893077	b	d	a	b	b	c
1	12893078	13928794	c	d	b	d	e	b
1	13928795	13990876	b	b	c	c	b	d
1	13990877	15001970	d	c	b	c	a	e
1	15001971	15348108	a	e	a	c	c	e
1	15348109	15958090	a	a	c	c	d	d
1	15958091	16208977	a	e	c	b	c	d
1	16208978	17211417	c	b	a	d	e	b
1	17211418	17364696	d	b	a	c	d	d
1	17364697	18179875	b	c	c	d	b	c
1	18179876	18429790	a	e	b	c	c	e
1	18429791	20073552	c	d	b	c	d	e
1	20073553	20321009	a	e	a	c	a	e
1	20321010	20518628	d	d	b	c	e	c
1	20518629	21491723	c	e	b	c	c	d
1	21491724	22176953	a	e	a	b	b	d
1	22176954	22240412	b	a	a	b	c	c
1	22240413	22284691	b	e	a	b	a	d
1	22284692	22381545	c	d	b	c	a	c
1	22381546	22603215	b	d	c	b	c	e
1	22603216	22718379	d	a	b	c	c	b
1	22718380	22960972	d	e	b	d	b	e
1	22960973	23131381	a	c	a	c	e	c
1	23131382	23324079	d	b	b	d	e	b
1	23324080	24635496	d	a	b	c	b	b
1	24635497	25233812	d	d	c	d	a	e
1	25233813	25460702	d	d	b	c	b	c
1	25460703	26773053	d	a	c	c	d	c
1	26773054	27092108	d	c	b	c	a	c
1	27092109	27572936	b	b	b	b	d	c
1	27572937	28254263	d	a	c	c	d	d
1	28254264	29069040	d	b	c	d	e	d
1	29069041	29658614	a	a	b	d	c	e
1	29658615	30020282	c	e	c	c	c	b
1	30020283	30864439	d	d	a	c	b	e
1	30864440	30877108	d	d	b	b	e	d
1	30877109	31261642	b	a	c	d	c	e
1	31261643	31497875	d	b	a	c	e	e
1	31497876	31519081	a	e	a	d	c	b
1	31519082	31531717	b	e	b	d	e	e
1	31531718	31665127	d	b	b	b	c	e
1	31665128	32722108	b	a	b	c	e	b
1	32722109	33582921	d	e	a	d	a	d
1	33582922	34348974	d	d	c	c	a	b
1	34348975	34445923	c	a	c	b	a	c
1	34445924	34565865	d	e	a	d	c	e
1	34565866	34596211	b	c	a	b	d	e
1	34596212	34817192	a	b	b	c	d	e
1	34817193	35079743	d	e	b	d	e	c
1	35079744	35223398	d	a	a	b	b	e
1	35223399	35750168	d	a	b	b	c	c
1	35750169	36696178	c	a	c	b	e	c
1	36696179	36746953	a	a	c	c	a	d
1	36746954	36821278	c	a	b	c	d	b
1	36821279	36869501	b	d	b	c	d	c
1	36869502	37285682	d	d	b	d	b	c
1	37285683	37612247	c	b	b	d	d	c
1	37612248	38049261	d	e	b	c	c	e
1	38049262	38488947	d	e	b	c	b	d
1	38488948	39014547	b	b	c	d	a	c
1	39014548	39175762	d	e	a	c	e	d
1	39175763	39671718	c	d	c	c	a	e
1	39671719	40011144	a	d	b	c	c	d
1	40011145	40593075	a	e	a	b	c	c
1	40593076	40817661	b	e	b	c	e	b
1	40817662	40832021	c	e	b	b	a	e
1	40832022	41961534	b	b	b	d	d	e
1	41961535	42002143	a	d	a	c	c	c
1	42002144	42063902	b	c	b	d	d	e
1	42063903	42177743	d	c	b	b	d	e
1	42177744	42493823	b	d	b	d	e	b
1	42493824	42533418	d	d	c	d	b	c
1	42533419	42797682	b	d	c	d	e	c
1	42797683	42932901	b	c	c	d	a	e
1	42932902	43268879	c	e	c	c	d	c
2	0	1688962	b	a	a	d	d	e
